stateName,status
Andaman And Nicobar Islands,TRUE
Andhra Pradesh,TRUE
Arunachal Pradesh,TRUE
Assam,TRUE
Bihar,TRUE
Chhattisgarh,TRUE
Delhi,TRUE
Goa,TRUE
Gujarat,TRUE
Haryana,TRUE
Himachal Pradesh,TRUE
Jammu And Kashmir,TRUE
Jharkhand,TRUE
Karnataka,TRUE
Kerala,TRUE
Ladakh,TRUE
Lakshadweep,TRUE
Madhya Pradesh,TRUE
Maharashtra,TRUE
Manipur,TRUE
Meghalaya,TRUE
Mizoram,TRUE
Nagaland,TRUE
Odisha,TRUE
Puducherry,TRUE
Punjab,TRUE
Rajasthan,TRUE
Sikkim,TRUE
Tamil Nadu,TRUE
Telangana,TRUE
The Dadra And Nagar Haveli And Daman And Diu,TRUE
Tripura,TRUE
Uttarakhand,TRUE
Uttar Pradesh,TRUE
West Bengal,TRUE
